 -1 -1
 -0.98995 -0.98995
 -0.979899 -0.979899
 -0.969849 -0.969849
 -0.959799 -0.959799
 -0.949749 -0.949749
 -0.939698 -0.939698
 -0.929648 -0.929648
 -0.919598 -0.919598
 -0.909548 -0.909548
 -0.899497 -0.899497
 -0.889447 -0.889447
 -0.879397 -0.879397
 -0.869347 -0.869347
 -0.859296 -0.859296
 -0.849246 -0.849246
 -0.839196 -0.839196
 -0.829146 -0.829146
 -0.819095 -0.819095
 -0.809045 -0.809045
 -0.798995 -0.798995
 -0.788945 -0.788945
 -0.778894 -0.778894
 -0.768844 -0.768844
 -0.758794 -0.758794
 -0.748744 -0.748744
 -0.738693 -0.738693
 -0.728643 -0.728643
 -0.718593 -0.718593
 -0.708543 -0.708543
 -0.698492 -0.698492
 -0.688442 -0.688442
 -0.678392 -0.678392
 -0.668342 -0.668342
 -0.658291 -0.658291
 -0.648241 -0.648241
 -0.638191 -0.638191
 -0.628141 -0.628141
 -0.61809 -0.61809
 -0.60804 -0.60804
 -0.59799 -0.59799
 -0.58794 -0.58794
 -0.577889 -0.577889
 -0.567839 -0.567839
 -0.557789 -0.557789
 -0.547739 -0.547739
 -0.537688 -0.537688
 -0.527638 -0.527638
 -0.517588 -0.517588
 -0.507538 -0.507538
 -0.497487 -0.497487
 -0.487437 -0.487437
 -0.477387 -0.477387
 -0.467337 -0.467337
 -0.457286 -0.457286
 -0.447236 -0.447236
 -0.437186 -0.437186
 -0.427136 -0.427136
 -0.417085 -0.417085
 -0.407035 -0.407035
 -0.396985 -0.396985
 -0.386935 -0.386935
 -0.376884 -0.376884
 -0.366834 -0.366834
 -0.356784 -0.356784
 -0.346734 -0.346734
 -0.336683 -0.336683
 -0.326633 -0.326633
 -0.316583 -0.316583
 -0.306533 -0.306533
 -0.296482 -0.296482
 -0.286432 -0.286432
 -0.276382 -0.276382
 -0.266332 -0.266332
 -0.256281 -0.256281
 -0.246231 -0.246231
 -0.236181 -0.236181
 -0.226131 -0.226131
 -0.21608 -0.21608
 -0.20603 -0.20603
 -0.19598 -0.19598
 -0.18593 -0.18593
 -0.175879 -0.175879
 -0.165829 -0.165829
 -0.155779 -0.155779
 -0.145729 -0.145729
 -0.135678 -0.135678
 -0.125628 -0.125628
 -0.115578 -0.115578
 -0.105528 -0.105528
 -0.095477 -0.095477
 -0.085427 -0.085427
 -0.075377 -0.075377
 -0.065327 -0.065327
 -0.055276 -0.055276
 -0.045226 -0.045226
 -0.035176 -0.035176
 -0.025126 -0.025126
 -0.015075 -0.015075
 -0.005025 -0.005025
 0.005025 0.005025
 0.015075 0.015075
 0.025126 0.025126
 0.035176 0.035176
 0.045226 0.045226
 0.055276 0.055276
 0.065327 0.065327
 0.075377 0.075377
 0.085427 0.085427
 0.095477 0.095477
 0.105528 0.105528
 0.115578 0.115578
 0.125628 0.125628
 0.135678 0.135678
 0.145729 0.145729
 0.155779 0.155779
 0.165829 0.165829
 0.175879 0.175879
 0.18593 0.18593
 0.19598 0.19598
 0.20603 0.20603
 0.21608 0.21608
 0.226131 0.226131
 0.236181 0.236181
 0.246231 0.246231
 0.256281 0.256281
 0.266332 0.266332
 0.276382 0.276382
 0.286432 0.286432
 0.296482 0.296482
 0.306533 0.306533
 0.316583 0.316583
 0.326633 0.326633
 0.336683 0.336683
 0.346734 0.346734
 0.356784 0.356784
 0.366834 0.366834
 0.376884 0.376884
 0.386935 0.386935
 0.396985 0.396985
 0.407035 0.407035
 0.417085 0.417085
 0.427136 0.427136
 0.437186 0.437186
 0.447236 0.447236
 0.457286 0.457286
 0.467337 0.467337
 0.477387 0.477387
 0.487437 0.487437
 0.497487 0.497487
 0.507538 0.507538
 0.517588 0.517588
 0.527638 0.527638
 0.537688 0.537688
 0.547739 0.547739
 0.557789 0.557789
 0.567839 0.567839
 0.577889 0.577889
 0.58794 0.58794
 0.59799 0.59799
 0.60804 0.60804
 0.61809 0.61809
 0.628141 0.628141
 0.638191 0.638191
 0.648241 0.648241
 0.658291 0.658291
 0.668342 0.668342
 0.678392 0.678392
 0.688442 0.688442
 0.698492 0.698492
 0.708543 0.708543
 0.718593 0.718593
 0.728643 0.728643
 0.738693 0.738693
 0.748744 0.748744
 0.758794 0.758794
 0.768844 0.768844
 0.778894 0.778894
 0.788945 0.788945
 0.798995 0.798995
 0.809045 0.809045
 0.819095 0.819095
 0.829146 0.829146
 0.839196 0.839196
 0.849246 0.849246
 0.859296 0.859296
 0.869347 0.869347
 0.879397 0.879397
 0.889447 0.889447
 0.899497 0.899497
 0.909548 0.909548
 0.919598 0.919598
 0.929648 0.929648
 0.939698 0.939698
 0.949749 0.949749
 0.959799 0.959799
